feature,importance,importance_type
shipping_mode_Standard Class,0.2932270642119172,gini_importance
days_for_shipment_scheduled,0.2843504139471045,gini_importance
shipping_mode_First Class,0.19193426890141463,gini_importance
shipping_mode_Second Class,0.11126382178826458,gini_importance
type_TRANSFER,0.028557101330739573,gini_importance
shipping_mode_Same Day,0.019392538577189918,gini_importance
type_DEBIT,0.00370761407910593,gini_importance
type_PAYMENT,0.0025234613120914537,gini_importance
order_state_Marche,0.002284076329535111,gini_importance
customer_city_Tustin,0.001491839438591445,gini_importance
customer_city_Ewa Beach,0.0014401609451158528,gini_importance
order_item_total,0.0012952304047540776,gini_importance
customer_city_Jamaica,0.001166138016013872,gini_importance
sales_per_customer,0.0010433347156769053,gini_importance
order_item_discount,0.0009838048818522293,gini_importance
order_item_discount_rate,0.0008265875897672159,gini_importance
sales,0.0008154991540956307,gini_importance
order_country_Cuba,0.0007757254108305617,gini_importance
order_item_product_price,0.0007132264110718744,gini_importance
order_year,0.0007017970456917734,gini_importance
order_state_Dakar,0.0006931351638905401,gini_importance
type_CASH,0.0006758724359291271,gini_importance
order_state_Matanzas,0.0006740157098471503,gini_importance
customer_segment_Corporate,0.0006227793934602005,gini_importance
customer_city_Roseville,0.0006205647183483154,gini_importance
product_price,0.0006060012854347366,gini_importance
order_state_Lombardía,0.000599551602877218,gini_importance
order_state_Tamaulipas,0.000561635712273144,gini_importance
customer_city_West Haven,0.0005177047824839057,gini_importance
order_state_Campania,0.0005143543622097231,gini_importance
order_state_Pekín,0.00047735889900070016,gini_importance
order_country_Colombia,0.0004720993147075916,gini_importance
order_region_Caribbean,0.000460440766857888,gini_importance
customer_city_Mission,0.0004343495928470481,gini_importance
order_state_Mersin,0.0004330267337865754,gini_importance
order_dayofweek_Tuesday,0.00042889093758999324,gini_importance
customer_city_Denver,0.0004271370865222497,gini_importance
customer_city_San Bernardino,0.00041327053863115555,gini_importance
order_state_Artemisa,0.00040068947214146777,gini_importance
customer_city_Plano,0.0003956351922087427,gini_importance
